ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),delivery_category
0xb55a,MYSRES04DEL03,33.0,4.9,12.31,76.67,12.34,76.7,30-03-2022,21:55,0.916666667,Sunny,Jam,2,Drinks,scooter,0.0,No,Metropolitian,22,Grocery
0x73cc,SURRES12DEL01,30.0,4.4,21.18,72.81,21.25,72.88,12-03-2022,22:40,22:55,Cloudy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,34,Food
0xbe80,MUMRES04DEL01,33.0,5.0,19.25,72.85,19.36,72.96,31-03-2022,23:50,23:55,Sandstorms,Jam,0,Buffet,motorcycle,0.0,No,Urban,24,Food
0x1609,PUNERES02DEL01,36.0,4.9,18.55,73.8,18.59,73.84,17-03-2022,15:25,15:40,Fog,Jam,2,Drinks,scooter,1.0,No,Metropolitian,17,Grocery
0xd255,ALHRES07DEL02,21.0,4.8,25.45,81.84,25.47,81.86,15-02-2022,10:20,10:30,Sandstorms,Jam,2,Meal,electric_scooter,0.0,No,Metropolitian,14,Food
0xde72,DEHRES19DEL02,39.0,4.9,30.37,78.08,30.42,78.13,15-02-2022,20:55,0.875,Stormy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,30,Food
0x98aa,VADRES16DEL02,23.0,4.8,0.0,0.0,0.02,0.02,07-03-2022,10:40,10:50,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,15,Food
0x273a,VADRES09DEL01,35.0,4.8,0.0,0.0,0.04,0.04,28-03-2022,15:55,16:05,Fog,Jam,2,Buffet,scooter,1.0,No,Urban,16,Food
0xa258,CHENRES12DEL03,39.0,4.6,12.97,80.25,13.06,80.34,16-03-2022,20:10,20:15,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,36,Food
0x8b53,SURRES11DEL01,22.0,4.7,21.16,72.77,21.2,72.81,17-03-2022,12:10,12:15,Sunny,Jam,1,Buffet,scooter,1.0,No,Urban,18,Food
0xbbde,SURRES01DEL01,32.0,4.6,21.19,72.79,21.23,72.83,15-03-2022,15:30,15:45,Fog,Jam,1,Meal,scooter,0.0,No,Metropolitian,17,Food
0x5ded,VADRES15DEL02,24.0,4.8,0.0,0.0,0.08,0.08,25-03-2022,22:10,22:15,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Urban,15,Food
0x1a70,MYSRES14DEL02,29.0,4.7,0.0,0.0,0.02,0.02,09-03-2022,10:35,10:45,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,17,Food
0xa9f,BANGRES13DEL01,,,12.94,77.61,12.98,77.65,11-03-2022,,15:30,,,1,Drinks,scooter,0.0,No,Metropolitian,19,Food
0x4b7f,HYDRES13DEL03,26.0,4.7,17.43,78.4,17.49,78.46,05-03-2022,23:50,24:05:00,Fog,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,10,Food
0xc606,BHPRES12DEL02,20.0,4.5,0.0,0.0,0.05,0.05,11-02-2022,21:10,21:25,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,27,Food
0xb962,CHENRES11DEL03,35.0,4.1,13.06,80.24,13.15,80.33,12-03-2022,20:25,20:40,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,37,Food
0x633c,BANGRES010DEL03,39.0,4.6,12.93,77.61,13.02,77.7,29-03-2022,20:50,0.875,Fog,Jam,1,Drinks,scooter,2.0,No,Metropolitian,44,Food
0x2dc6,VADRES20DEL01,34.0,4.7,22.31,73.16,22.35,73.2,19-03-2022,12:35,12:45,Windy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,28,Grocery
0x903a,BANGRES11DEL01,27.0,4.7,12.93,77.62,13.04,77.73,10-03-2022,0.875,21:15,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,42,Food
0xc444,DEHRES01DEL01,30.0,4.8,0.0,0.0,0.11,0.11,16-02-2022,23:40,23:55,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,25,Food
0x1fb7,CHENRES02DEL01,25.0,4.4,13.09,80.22,13.2,80.33,27-03-2022,18:15,18:20,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,39,Food
0x34d7,MUMRES04DEL01,25.0,4.7,19.25,72.85,19.36,72.96,27-03-2022,18:20,18:25,Stormy,Jam,0,Meal,motorcycle,0.0,No,Urban,20,Food
0x156b,JAPRES03DEL02,30.0,5.0,26.91,75.8,26.93,75.82,24-03-2022,11:45,11:50,Stormy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,31,Food
0x56ad,HYDRES04DEL03,24.0,4.6,17.41,78.33,17.47,78.39,09-03-2022,20:45,20:55,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,13,Food
0x837c,PUNERES14DEL02,39.0,4.8,18.52,73.84,18.57,73.89,03-03-2022,21:55,22:10,Stormy,Jam,1,Meal,motorcycle,,No,Metropolitian,28,Food
0xcbc4,GOARES04DEL01,25.0,4.8,15.57,73.74,15.61,73.78,15-02-2022,12:45,12:50,Windy,Jam,1,Snack,scooter,1.0,No,Urban,19,Food
0xc19e,AURGRES08DEL02,37.0,4.6,19.88,75.36,19.96,75.44,18-02-2022,23:30,23:45,Fog,Jam,0,Buffet,motorcycle,2.0,Yes,Urban,42,Food
0x1d60,BANGRES12DEL01,24.0,5.0,12.94,77.63,12.95,77.64,01-03-2022,10:50,10:55,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,23,Grocery
0x95fb,HYDRES05DEL01,25.0,4.2,17.43,78.39,17.54,78.5,23-03-2022,21:25,21:40,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,39,Food
0x8195,RANCHIRES17DEL01,32.0,4.6,23.37,85.34,23.38,85.35,01-04-2022,10:10,10:20,Stormy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,25,Grocery
0xc042,AGRRES010DEL01,34.0,4.7,-27.16,78.06,27.23,78.13,16-02-2022,0.958333333,23:05,Sandstorms,Jam,1,Drinks,scooter,0.0,No,Metropolitian,15,Food
0x6d19,INDORES12DEL02,38.0,4.9,22.75,75.89,22.77,75.91,11-03-2022,08:40,08:55,Cloudy,Jam,2,Drinks,scooter,1.0,No,Urban,15,Grocery
0x35e6,JAPRES15DEL03,36.0,4.8,26.89,75.8,26.98,75.89,14-03-2022,17:50,17:55,Sunny,Jam,2,Buffet,electric_scooter,0.0,No,Metropolitian,15,Food
0xb437,SURRES16DEL01,25.0,5.0,21.16,72.77,21.27,72.88,18-03-2022,20:25,20:40,Stormy,Jam,1,Meal,motorcycle,,No,Metropolitian,15,Food
0x97e3,MYSRES16DEL02,29.0,5.0,12.32,76.6,12.37,76.65,01-04-2022,22:20,22:25,Sunny,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,18,Food
0xa3e0,MUMRES05DEL03,36.0,4.7,18.93,72.83,19.02,72.92,04-04-2022,23:40,23:50,Sandstorms,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,29,Food
0x4161,COIMBRES19DEL02,33.0,4.7,11.02,77.0,11.07,77.05,11-03-2022,23:25,23:30,Fog,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,20,Food
0x1236,MYSRES07DEL01,36.0,4.4,12.33,76.63,12.37,76.67,13-03-2022,12:40,12:55,Cloudy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39,Food
0x2558,PUNERES17DEL01,21.0,4.8,18.53,73.83,18.64,73.94,04-03-2022,23:30,23:45,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,19,Food
0x3185,HYDRES19DEL03,25.0,4.8,17.46,78.5,17.49,78.53,26-03-2022,23:55,24:10:00,Cloudy,Jam,1,Snack,scooter,1.0,No,Urban,19,Food
0x3c57,MUMRES14DEL02,23.0,4.8,19.18,72.84,19.31,72.97,16-03-2022,22:50,0.958333333,Windy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,17,Food
0x4863,COIMBRES02DEL01,25.0,4.6,11.02,77.0,11.03,77.01,01-03-2022,10:25,10:40,Stormy,Jam,2,Snack,motorcycle,1.0,No,Urban,15,Food
0x6757,INDORES05DEL02,24.0,4.3,22.73,75.88,22.75,75.9,15-03-2022,08:45,0.375,Sandstorms,Jam,0,Meal,motorcycle,0.0,No,Urban,19,Food
0x22ad,BANGRES03DEL03,27.0,4.6,12.98,77.64,13.07,77.73,04-03-2022,21:25,21:40,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,29,Food
0x9f99,MUMRES11DEL01,23.0,4.8,18.99,72.83,19.1,72.94,18-03-2022,22:35,22:40,Cloudy,Jam,2,Snack,scooter,1.0,No,Urban,22,Food
0x6781,MYSRES12DEL02,21.0,4.3,12.28,76.63,12.41,76.76,23-03-2022,20:10,20:20,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,42,Grocery
0x1b8d,SURRES09DEL02,27.0,4.7,21.18,72.8,21.2,72.82,15-03-2022,10:55,11:10,Sandstorms,Jam,2,Snack,scooter,0.0,No,Urban,12,Food
0x1aea,COIMBRES12DEL02,32.0,4.2,11.0,76.98,11.13,77.11,08-03-2022,20:35,20:45,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,38,Food
0x1e42,SURRES08DEL01,25.0,4.6,21.17,72.79,21.28,72.9,10-03-2022,23:20,23:35,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,Food
0xddc8,KNPRES05DEL02,39.0,4.7,26.48,80.32,26.5,80.34,11-02-2022,10:35,10:50,Cloudy,Jam,1,Meal,scooter,0.0,No,Metropolitian,15,Food
0x24ac,SURRES05DEL02,27.0,4.6,21.18,72.8,21.26,72.88,14-03-2022,23:45,23:50,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,24,Food
0x3f01,MUMRES15DEL01,39.0,3.8,19.18,72.84,19.29,72.95,16-03-2022,19:55,0.833333333,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,37,Grocery
0x628c,BANGRES15DEL02,31.0,4.8,12.98,77.7,13.03,77.75,01-03-2022,22:15,22:25,Sandstorms,Jam,1,Snack,scooter,0.0,No,Metropolitian,24,Food
0x6c38,RANCHIRES11DEL03,31.0,4.8,23.36,85.33,23.42,85.39,01-03-2022,23:10,23:15,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,13,Food
0x4beb,MYSRES08DEL01,20.0,4.8,12.3,76.67,12.31,76.68,30-03-2022,09:15,09:30,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,,16,Food
0x8339,RANCHIRES07DEL02,36.0,4.9,23.36,85.33,23.44,85.41,02-03-2022,18:25,18:35,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Urban,42,Grocery
0x3ec5,RANCHIRES01DEL03,20.0,4.9,23.42,85.32,23.51,85.41,20-03-2022,22:10,22:20,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,17,Food
0xadb4,JAPRES17DEL03,24.0,4.6,26.89,75.81,26.92,75.84,03-04-2022,20:50,21:05,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,25,Food
0x6e2,VADRES06DEL01,,,22.31,73.17,22.42,73.28,02-04-2022,,18:25,,,3,Snack,electric_scooter,0.0,No,Metropolitian,25,Food
0x2bc0,INDORES14DEL01,39.0,4.2,22.76,75.89,22.87,76.0,29-03-2022,18:45,18:50,Fog,Jam,1,Snack,scooter,0.0,No,Metropolitian,39,Food
0x99e7,COIMBRES17DEL01,37.0,4.8,11.03,76.94,11.07,76.98,17-03-2022,14:55,15:05,Sunny,Jam,2,Meal,scooter,0.0,No,Metropolitian,18,Food
0x39ef,CHENRES11DEL01,32.0,4.9,13.06,80.24,13.1,80.28,17-03-2022,16:50,0.708333333,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,28,Grocery
0xe264,KNPRES17DEL02,22.0,4.5,26.48,80.32,26.53,80.37,15-02-2022,22:20,22:35,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,Grocery
0xbd03,COIMBRES12DEL02,23.0,4.9,11.0,76.98,11.13,77.11,18-03-2022,1,24:15:00,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,18,Food
0x9a29,RANCHIRES04DEL01,33.0,4.7,23.36,85.33,23.47,85.44,08-03-2022,21:10,21:20,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,49,Food
0xd0e5,KOLRES17DEL03,23.0,,22.57,88.43,22.6,88.46,17-02-2022,23:25,23:35,Sunny,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,15,Grocery
0xa480,BANGRES19DEL02,27.0,4.6,12.91,77.68,12.99,77.76,31-03-2022,23:30,23:35,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,21,Grocery
0xb46c,MUMRES17DEL01,34.0,4.7,19.12,72.91,19.16,72.95,01-03-2022,14:20,14:35,Sunny,Jam,2,Snack,scooter,0.0,No,Metropolitian,23,Food
0x7150,SURRES14DEL01,26.0,5.0,21.16,72.77,21.17,72.78,03-04-2022,10:15,10:25,Fog,Jam,2,Meal,scooter,1.0,No,Urban,11,Food
0x1e58,VADRES14DEL03,31.0,4.6,22.31,73.17,22.37,73.23,24-03-2022,21:20,21:35,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,25,Food
0x4460,PUNERES09DEL02,32.0,4.9,18.54,73.9,18.56,73.92,07-03-2022,08:50,08:55,Fog,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,18,Food
0x977d,INDORES19DEL02,27.0,4.7,22.75,75.89,22.77,75.91,09-03-2022,0.375,09:05,Cloudy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,14,Food
0x1602,BANGRES010DEL03,21.0,4.9,12.93,77.61,13.02,77.7,12-03-2022,17:45,0.75,Windy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,36,Food
0x894e,BANGRES12DEL02,28.0,4.8,12.94,77.63,12.99,77.68,24-03-2022,23:10,23:15,Fog,Jam,1,Drinks,motorcycle,,No,Metropolitian,18,Food
0x5a01,VADRES04DEL01,24.0,4.9,0.0,0.0,0.04,0.04,30-03-2022,16:35,16:50,Fog,Jam,1,Meal,scooter,1.0,No,Urban,17,Food
0x655,HYDRES14DEL01,33.0,4.4,17.43,78.41,17.44,78.42,05-03-2022,08:30,08:40,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,Food
0x20f6,BANGRES11DEL03,20.0,4.6,12.93,77.62,13.02,77.71,18-03-2022,20:35,20:50,Fog,Jam,0,Buffet,motorcycle,0.0,Yes,Metropolitian,44,Food
0x3db1,COIMBRES13DEL03,31.0,4.3,11.0,76.98,11.06,77.04,13-03-2022,23:25,23:40,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,20,Food
0x1ec7,PUNERES05DEL03,,,18.54,73.91,18.57,73.94,09-03-2022,,23:40,Stormy,Jam,2,Snack,scooter,0.0,No,,19,Food
0x8ed2,VADRES20DEL01,36.0,5.0,22.31,73.16,22.38,73.23,31-03-2022,19:55,20:05,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,35,Food
0x64cc,CHENRES19DEL01,31.0,4.2,12.99,80.22,13.1,80.33,23-03-2022,21:20,21:30,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,50,Food
0x2ed0,HYDRES02DEL03,39.0,4.1,17.41,78.45,17.47,78.51,24-03-2022,21:45,21:50,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,34,Food
0x4008,SURRES010DEL02,29.0,4.6,21.17,72.79,21.25,72.87,12-03-2022,19:40,19:55,Sunny,Jam,2,Meal,electric_scooter,,No,Metropolitian,17,Food
0x7553,SURRES03DEL01,29.0,4.6,21.19,72.79,21.23,72.83,03-03-2022,14:50,0.625,Sandstorms,Jam,1,Snack,scooter,0.0,No,Urban,23,Food
0x35d8,COIMBRES17DEL03,37.0,4.9,11.03,76.94,11.06,76.97,09-03-2022,18:10,18:20,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,27,Food
0x9832,VADRES08DEL01,33.0,4.7,0.0,0.0,0.04,0.04,17-03-2022,12:20,12:30,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Urban,26,Food
0x4c88,MUMRES08DEL01,31.0,3.9,19.07,72.83,19.14,72.9,18-03-2022,23:40,23:50,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,35,Food
0x9693,VADRES18DEL01,37.0,4.6,0.0,0.0,0.04,0.04,19-03-2022,12:50,12:55,Windy,Jam,0,Drinks,motorcycle,1.0,No,Urban,41,Food
0x81a5,BANGRES04DEL03,26.0,4.4,12.98,77.64,13.04,77.7,07-03-2022,23:20,23:30,Sandstorms,Jam,0,Buffet,motorcycle,0.0,No,,23,Food
0xae56,COIMBRES02DEL01,24.0,4.6,11.02,77.0,11.13,77.11,04-03-2022,17:50,0.75,Stormy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,30,Food
0x8d18,RANCHIRES12DEL02,23.0,4.8,0.0,0.0,0.02,0.02,03-04-2022,10:25,10:35,Windy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,19,Food
0x9cba,VADRES18DEL01,36.0,4.9,0.0,0.0,0.01,0.01,11-03-2022,09:10,09:25,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,Food
